,ktr,gam,slope_ven_blast,slope_ven_wbc,B,Xl1,B0,p1,bi
2111,0.2877320291636932,0.04054590311934495,4.285714286734704,0.38897529160000643,0.7442227507070351,0.1302956289182392,0.0028053620816042538,0.01567054616286514,0.06231597191291314
5568,0.6076661606087647,0.06103664674389782,3.659166125748279,0.2676747162188349,2.3684563736860427,0.6481970527892977,9.166666655290204,0.27359688885277633,0.06298280740758996
3266,0.30323190814543327,0.38662880705211045,3.588020690349235,1.7718402980665102,1.9413506058347128,0.169277028628614,1.9927503052496736,0.5529271455093708,0.29601987218725756
3652,0.21831396632892258,0.37570718474668685,2.5823648074115275,0.7775248090498161,1.2972344206780955,0.5000087933062596,9.062935635335963,0.0638595455028072,0.19403460619197896
2886,0.6635927625617979,0.0030149125655671476,3.3887937389603335,0.11891362133134818,1.5650484848365396,0.23007629699229523,3.0700046335750635,0.03536694965488274,0.0016205447089285385
4935,0.2737220632449036,0.6623122600709045,4.2857142867347005,2.5190491114757023,0.8011346646389237,0.2830531304273441,0.20461740049127655,0.07887581716212483,0.1267528199574637
6086,0.35910516718832314,0.35700363842757044,1.3984774006004246,0.7509009748685724,1.6037869466147434,0.7895737086042416,0.026414736801851905,0.10922518280836535,0.04269592760124722
1100,0.06444788684543447,0.6376346631889209,0.6105481013413728,1.0167650226745177,2.60966551824941,0.03655536771326895,9.166666667361111,0.008684648732407192,0.15461333432914182
8013,0.09663757121867975,0.5222940029126966,0.007432731197706341,0.02806224194416475,1.0882445320713068,2.3638744118413927e-05,0.02043088737315714,0.025772376002270624,0.13687261288308752
4046,0.6501195702670203,0.11975979745698755,1.9319194729677442,0.40868048587488814,0.058936602726113445,0.45992447239947976,0.20417058948153893,0.09573944022157345,0.04734495100862601
6735,0.06798547454612756,0.6666662153085889,4.285709061363068,1.5254321765975636,1.7469434345517398,0.6165276872882423,0.9542901935205084,0.024186024987715805,0.6666666677777727
9553,0.6666666677777814,0.010498075350555905,3.2237900908161556,0.6159428648528876,0.6165158904326918,0.4756067558432858,0.35095024224568083,0.023738589523378317,0.033467719477391834
4181,0.2086692898119219,0.6666660222514551,2.0140498030378278,4.041070678403975,0.3710161750507385,0.14835082627714585,0.1442014323923649,0.003910749079517626,0.006781816713794093
8917,0.04321572637854541,0.666666667777776,4.285714286734711,4.285714286734681,0.7589010066581761,0.2593209845721013,0.010705274391773186,0.020819392654846385,0.0035527714252148847
8793,0.2257142152282052,0.6666666677777767,2.721211514129769,2.6523719959966954,0.6918251464561792,0.18846738128187865,0.22363827113849158,0.024055012684800623,0.0032056244497905414
7643,0.3792191360137223,0.44283187221378195,3.0592939357385953,3.419465048498144,1.0587669738173524,0.6994506537308587,0.2495769352140088,0.06691158986185072,0.059797522744689406
7773,0.07068905631581313,0.6666666677777743,0.08469901393118413,3.4562593140816436,4.227130903239646,0.06672189741852443,0.7167945559593385,0.0032197055099670484,0.000733806418218898
9823,0.6483803561727268,0.29010205355953944,1.8013504203259063,3.054029446564188,3.739598451222597,0.1098453996952471,2.148963424366044,0.018160529784184764,0.5311694559955004
7908,0.6666666677777767,0.4984939307417094,4.2857142867347156,0.2600489450527535,0.266797763653512,0.6372964392865877,0.0006181172932872936,0.008590990022238749,0.018104844166056462
4838,0.0021581930911990337,0.4240818210137998,2.324857038320582,1.6858431830987146,0.00012954992649893737,0.5884776813315797,0.007719493964172083,0.9072045693365093,5.129402262530594e-07
5478,0.07274150872048817,0.601002561951666,3.268486848578255,4.2857142867347235,2.9915262236056877,0.11827851433428463,0.0001158934243661116,0.023724364760735975,0.06528249695155457
6374,0.23405694867775395,0.0492746476578596,1.3700589069293045,0.2770702928355827,0.2079396804720003,0.10360826205575466,0.2915206804460056,0.030410524273245403,0.014903232380778359
7402,0.09961366969995666,0.6666666677777862,1.8080062572120006,1.9671945187919113,2.487381614632718,0.24941353820683793,0.3300041608148069,0.0733887127554045,0.21447694296737083
3947,0.23944975497332946,0.0016143816296988348,0.09760962420707482,0.01548800113158698,1.8059056917257426,0.00028106246263146786,2.5489133866031857,0.0206109247987494,0.010419526354285169
2927,0.23230594593413934,0.6666666677777767,4.285714286734696,0.4347402645869305,9.166666667361126,0.23438172569143162,1.5305938306600737,0.0013775350763985494,0.0006737568514316774
1393,0.04233163949458291,0.6666666677777767,3.191457213700763,0.6642754410884377,0.9229936859162282,0.5699465262423985,0.1801695637204967,0.15730575445742626,0.0211312056565879
5874,0.394013755299818,0.28750863149436284,1.2587126823755703,2.1354800361422006,4.1008957207528045,0.5000000408533886,1.024255733138948,0.24240837787162037,0.08771188396869123
7537,0.18345986196122083,0.6666666651157213,3.911311096700396,1.58898279872292,0.7155293821886471,0.37004235619771564,0.5665127390820317,0.23709215082762652,0.0370115500737254
3447,0.07614958053057407,0.5852303672448828,3.111439307846331,0.9219484245755185,1.654028030338532,0.29882512293706154,1.6613517617488758,0.03153450066230832,0.6665180126792292
9851,0.3806407261093327,0.6666666677777641,3.967482104299256,0.6848268199940756,1.4401937023721207,0.12999314169266815,0.41510963390161915,0.6363703974600208,0.008981671235649897
6780,0.13912481962504303,0.6666666595793088,2.8571068736887613,2.0848147285232725,1.4433038596591485,0.8495030245877628,1.0528058985071675,0.04848017266518876,0.666666667777776
8574,0.44956716301879784,0.44474694856234565,3.55999164461881,3.4538602065683643,2.8854239292581365,0.31962491687888417,0.23662589219866223,0.00015493927701875628,0.11609012840144525
